name,type,tag,lat,lng,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,payday_alternative_loans,quality,type_label,tag_label,GEOID20,grantee
Quizno's,grocery,deli,39.6338007,-77.6998783,,,,,,,,,,,,,Grocery,Deli,24043000601,True
Weis,grocery,supermarket,39.6338099,-77.7005247,,,,,,,,,,,,,Grocery,Supermarket,24043000601,True
Atlantic Supermarket,grocery,supermarket,38.9887792,-76.9859511,,,,,,,,,,,,,Grocery,Supermarket,24033805601,True
Casa Blanca,grocery,bakery,38.9909654,-76.9878289,,,,,,,,,,,,,Grocery,Bakery,24033805601,True
Mercadito Ramos II,grocery,convenience,38.9912487,-76.9881063,,,,,,,,,,,,,Grocery,Convenience,24033805601,True
Unnamed seafood,grocery,seafood,38.3235406,-76.2297925,,,,,,,,,,,,,Grocery,Seafood,24019970804,True
Big E's Convenience Store,grocery,convenience,39.3301051,-76.6093013,,,,,,,,,,,,,Grocery,Convenience,24510090300,True
Unnamed convenience,grocery,convenience,38.6951399,-75.7674403,,,,,,,,,,,,,Grocery,Convenience,24011955600,True
Sweet Hearts Patisserie,grocery,pastry,38.9613563,-76.509606,,,,,,,,,,,,,Grocery,Pastry,24003706403,True
Unnamed convenience,grocery,convenience,39.3434183,-76.6839847,,,,,,,,,,,,,Grocery,Convenience,24510271801,True
Gera Variety,grocery,convenience,39.316713,-76.65023,,,,,,,,,,,,,Grocery,Convenience,24510130400,True
E&E Corner Market,grocery,convenience,39.2990206,-76.5750789,,,,,,,,,,,,,Grocery,Convenience,24510070100,True
MD Convenience Store,grocery,convenience,39.2990765,-76.5736739,,,,,,,,,,,,,Grocery,Convenience,24510070100,True
Giant,grocery,supermarket,38.8324985,-76.9444336,,,,,,,,,,,,,Grocery,Supermarket,24033801802,True
Shoppers Food & Pharmacy,grocery,supermarket,38.8561604,-76.9072677,,,,,,,,,,,,,Grocery,Supermarket,24033802407,True
Giant,grocery,supermarket,38.8539108,-76.9126277,,,,,,,,,,,,,Grocery,Supermarket,24033802406,True
7-Eleven,grocery,convenience,38.8559751,-76.9012309,,,,,,,,,,,,,Grocery,Convenience,24033802407,True
Supermarket,grocery,supermarket,39.3384807,-76.6074957,,,,,,,,,,,,,Grocery,Supermarket,24510090100,True
Unnamed convenience,grocery,convenience,39.3358828,-76.6073791,,,,,,,,,,,,,Grocery,Convenience,24510090100,True
Patel Brothers,grocery,grocery,39.1545395,-77.1986898,,,,,,,,,,,,,Grocery,Grocery,24031700713,True
European Desserts and More,grocery,bakery,39.6481764,-78.7626117,,,,,,,,,,,,,Grocery,Bakery,24001000800,True
New Grand Mart,grocery,supermarket,38.9839611,-76.9817323,,,,,,,,,,,,,Grocery,Supermarket,24033805500,True
Copacabana Bakery,grocery,bakery,39.1538884,-77.1982182,,,,,,,,,,,,,Grocery,Bakery,24031700713,True
Village Bazaar - Halal Meat & Ethnic Grocery,grocery,supermarket,39.1527469,-77.1966218,,,,,,,,,,,,,Grocery,Supermarket,24031700713,True
Save-A-Lot,grocery,supermarket,39.2249771,-76.6126112,,,,,,,,,,,,,Grocery,Supermarket,24003750101,True
American Mart,grocery,convenience,39.2200816,-76.6144622,,,,,,,,,,,,,Grocery,Convenience,24003750204,True
Unnamed seafood,grocery,seafood,39.3537901,-76.6993508,,,,,,,,,,,,,Grocery,Seafood,24510280101,True
Unnamed convenience,grocery,convenience,39.3100515,-76.6480368,,,,,,,,,,,,,Grocery,Convenience,24510150400,True
St Mary's Food Market,grocery,convenience,39.2344166,-76.5967802,,,,,,,,,,,,,Grocery,Convenience,24510250402,True
7 Star Food Market,grocery,convenience,39.2270061,-76.5888614,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
Luckies Deli Mart,grocery,convenience,39.2282116,-76.5888549,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
BP Shop,grocery,convenience,39.2281252,-76.5883869,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
M & C Food Market,grocery,convenience,39.22864,-76.5901983,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
BP Shop,grocery,convenience,39.4360442,-76.3061605,,,,,,,,,,,,,Grocery,Convenience,24025301302,True
99 Ranch Market,grocery,supermarket,39.1500812,-77.206167,,,,,,,,,,,,,Grocery,Supermarket,24031700713,True
Shoppers Food & Pharmacy,grocery,supermarket,39.0166444,-76.9287385,,,,,,,,,,,,,Grocery,Supermarket,24033807301,True
Sam's Club,grocery,wholesale,39.6319857,-77.7655224,,,,,,,,,,,,,Grocery,Wholesale,24043000900,True
Joppa Grand Market,grocery,marketplace,39.421131,-76.3718862,,,,,,,,,,,,,Grocery,Marketplace,24025301401,True
Redner's,grocery,supermarket,39.4203622,-76.3703184,,,,,,,,,,,,,Grocery,Supermarket,24025301401,True
Harvest Fare,grocery,supermarket,39.345855,-76.7011635,,,,,,,,,,,,,Grocery,Supermarket,24510280102,True
Carroll Mart,grocery,convenience,39.3482603,-76.6917113,,,,,,,,,,,,,Grocery,Convenience,24510280101,True
Tiger Mart,grocery,convenience,39.3488157,-76.6925402,,,,,,,,,,,,,Grocery,Convenience,24510280101,True
Save-A-Lot,grocery,supermarket,39.359759,-76.7092183,,,,,,,,,,,,,Grocery,Supermarket,24510280101,True
Sheetz,grocery,convenience,39.6343756,-78.7641138,,,,,,,,,,,,,Grocery,Convenience,24001000800,True
Unnamed convenience,grocery,convenience,39.3554451,-76.7027837,,,,,,,,,,,,,Grocery,Convenience,24510280101,True
Tiger Mart,grocery,convenience,39.3594825,-76.7074181,,,,,,,,,,,,,Grocery,Convenience,24510280101,True
Wabash Food Mart,grocery,convenience,39.3366917,-76.6747272,,,,,,,,,,,,,Grocery,Convenience,24510151100,True
Tiger Mart,grocery,convenience,38.9990549,-76.9958304,,,,,,,,,,,,,Grocery,Convenience,24031702000,True
Giant,grocery,supermarket,38.9995467,-77.0024168,,,,,,,,,,,,,Grocery,Supermarket,24031702301,True
Patel Brothers,grocery,supermarket,38.9840478,-76.9772498,,,,,,,,,,,,,Grocery,Supermarket,24033805700,True
7-Eleven,grocery,convenience,38.9842486,-76.9786579,,,,,,,,,,,,,Grocery,Convenience,24033805700,True
Weis,grocery,supermarket,39.4213266,-77.4685511,,,,,,,,,,,,,Grocery,Supermarket,24021750506,True
Food Lion,grocery,supermarket,38.623047,-76.9084323,,,,,,,,,,,,,Grocery,Supermarket,24017850901,True
BP Shop,grocery,convenience,38.8675106,-76.8915494,,,,,,,,,,,,,Grocery,Convenience,24033802404,True
Unnamed convenience,grocery,convenience,39.3081031,-76.670559,,,,,,,,,,,,,Grocery,Convenience,24510150600,True
Falcon Mart,grocery,convenience,38.9929827,-76.9923704,,,,,,,,,,,,,Grocery,Convenience,24031702000,True
7-Eleven,grocery,convenience,39.2185074,-76.6136121,,,,,,,,,,,,,Grocery,Convenience,24003750101,True
7-Eleven,grocery,convenience,39.2337285,-76.6122912,,,,,,,,,,,,,Grocery,Convenience,24003750102,True
Citgo Quik Mart,grocery,convenience,39.2028299,-76.5599341,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
Carroll Mart,grocery,convenience,39.4383277,-76.3454562,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
7-Eleven,grocery,convenience,39.2902062,-76.5942816,,,,,,,,,,,,,Grocery,Convenience,24510030100,True
Royal Farms,grocery,convenience,39.3132739,-76.4630063,,,,,,,,,,,,,Grocery,Convenience,24005450501,True
Fresh Fresco Market,grocery,convenience,39.3110034,-76.4473601,,,,,,,,,,,,,Grocery,Convenience,24005450504,True
7-Eleven,grocery,convenience,39.4296818,-76.3556492,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
Wawa,grocery,convenience,39.4400502,-76.345534,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
ALDI,grocery,supermarket,39.4348216,-76.3270052,,,,,,,,,,,,,Grocery,Supermarket,24025301301,True
Labodega Deli & Grocery,grocery,supermarket,39.2992292,-76.5765151,,,,,,,,,,,,,Grocery,Supermarket,24510070100,True
Hye's Grocery,grocery,supermarket,39.2999064,-76.5775047,,,,,,,,,,,,,Grocery,Supermarket,24510070100,True
Cooley's Grocery,grocery,supermarket,39.3009381,-76.5783322,,,,,,,,,,,,,Grocery,Supermarket,24510070200,True
Harford Convenience Store,grocery,convenience,39.3303452,-76.5815614,,,,,,,,,,,,,Grocery,Convenience,24510090200,True
Save-A-Lot,grocery,supermarket,39.2984686,-76.5817622,,,,,,,,,,,,,Grocery,Supermarket,24510070200,True
Sunshine Market,grocery,convenience,39.2974294,-76.5851928,,,,,,,,,,,,,Grocery,Convenience,24510070300,True
Super Save,grocery,convenience,39.2987929,-76.5876385,,,,,,,,,,,,,Grocery,Convenience,24510070300,True
Northeast Market,grocery,grocery,39.2980807,-76.5875181,,,,,,,,,,,,,Grocery,Grocery,24510070300,True
Rightway Food Express,grocery,convenience,39.3234999,-76.5879718,,,,,,,,,,,,,Grocery,Convenience,24510090600,True
BP Shop,grocery,convenience,39.3170245,-76.5955352,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Unnamed convenience,grocery,convenience,39.3164729,-76.5962951,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Harford Foot Mart & Carryout,grocery,convenience,39.3131301,-76.5992529,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Mama Ellas Groceries & Carry Out,grocery,convenience,39.3120746,-76.6009307,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Carroll Mart,grocery,convenience,39.3121352,-76.6021876,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
7-Eleven,grocery,convenience,39.3179413,-76.6028499,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Royal Star Grocery,grocery,convenience,39.3120114,-76.6030707,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Roman's Food Market,grocery,convenience,39.3140018,-76.605525,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
F&Y Market,grocery,convenience,39.3159402,-76.6069674,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
York Food Market,grocery,convenience,39.3388635,-76.6077164,,,,,,,,,,,,,Grocery,Convenience,24510090100,True
Light Carry Out,grocery,convenience,39.3051067,-76.6084791,,,,,,,,,,,,,Grocery,Convenience,24510120500,True
US Fuel,grocery,convenience,39.3287741,-76.6089396,,,,,,,,,,,,,Grocery,Convenience,24510090300,True
Greenmount Mini Mart,grocery,convenience,39.3119745,-76.6091765,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
Greenmount Market,grocery,convenience,39.3120517,-76.6092609,,,,,,,,,,,,,Grocery,Convenience,24510090800,True
J&R Market,grocery,convenience,39.3198373,-76.6092647,,,,,,,,,,,,,Grocery,Convenience,24510090400,True
2627 Mini Mart,grocery,convenience,39.3203235,-76.609267,,,,,,,,,,,,,Grocery,Convenience,24510090400,True
Everest Greenish Grocery,grocery,convenience,39.317885,-76.6096085,,,,,,,,,,,,,Grocery,Convenience,24510120300,True
S&W Market,grocery,convenience,39.3136225,-76.6097532,,,,,,,,,,,,,Grocery,Convenience,24510120400,True
Sun Grocery,grocery,convenience,39.3085777,-76.6106099,,,,,,,,,,,,,Grocery,Convenience,24510120500,True
Barclay Market,grocery,convenience,39.3210348,-76.6108615,,,,,,,,,,,,,Grocery,Convenience,24510120300,True
Save-A-Lot,grocery,supermarket,39.2991563,-76.6285466,,,,,,,,,,,,,Grocery,Supermarket,24510170200,True
Harlem Mini Mart,grocery,convenience,39.2994829,-76.6293122,,,,,,,,,,,,,Grocery,Convenience,24510170200,True
Harlem Grocery,grocery,supermarket,39.2966705,-76.6332913,,,,,,,,,,,,,Grocery,Supermarket,24510160100,True
O K Groceries,grocery,supermarket,39.3004244,-76.635029,,,,,,,,,,,,,Grocery,Supermarket,24510140200,True
The Avenue Bakery,grocery,bakery,39.3082127,-76.6398316,,,,,,,,,,,,,Grocery,Bakery,24510140300,True
Topline Outlet & Variety,grocery,convenience,39.3099107,-76.6511653,,,,,,,,,,,,,Grocery,Convenience,24510150400,True
Unnamed convenience,grocery,convenience,39.3247233,-76.6578209,,,,,,,,,,,,,Grocery,Convenience,24510150500,True
University Grocery,grocery,convenience,39.3089722,-76.6611704,,,,,,,,,,,,,Grocery,Convenience,24510150600,True
Unnamed convenience,grocery,convenience,39.3221081,-76.6632628,,,,,,,,,,,,,Grocery,Convenience,24510150500,True
Unnamed convenience,grocery,convenience,39.3085637,-76.6712445,,,,,,,,,,,,,Grocery,Convenience,24510150600,True
ALDI,grocery,supermarket,39.3353516,-76.6760341,,,,,,,,,,,,,Grocery,Supermarket,24510151100,True
Save-A-Lot,grocery,supermarket,39.3101384,-76.6755833,,,,,,,,,,,,,Grocery,Supermarket,24510150600,True
Obama 7 Mart,grocery,convenience,39.3429807,-76.6829876,,,,,,,,,,,,,Grocery,Convenience,24510271802,True
Royal Farms,grocery,convenience,39.2006363,-76.5551086,,,,,,,,,,,,,Grocery,Convenience,24510250500,True
Shell,grocery,convenience,39.0438302,-76.951352,,,,,,,,,,,,,Grocery,Convenience,24033807410,True
Unnamed convenience,grocery,convenience,38.9761999,-76.5399527,,,,,,,,,,,,,Grocery,Convenience,24003702500,True
Giant Eagle,grocery,supermarket,39.4194983,-77.4478184,,,,,,,,,,,,,Grocery,Supermarket,24021750504,True
Sheetz,grocery,convenience,39.4263189,-77.4311146,,,,,,,,,,,,,Grocery,Convenience,24021750504,True
Unnamed convenience,grocery,convenience,39.3098916,-76.6364238,,,,,,,,,,,,,Grocery,Convenience,24510140300,True
Bestway,grocery,supermarket,38.9991216,-77.0022502,,,,,,,,,,,,,Grocery,Supermarket,24031702301,True
Picozzi Pizza & Subs,grocery,convenience,39.4251781,-76.3128552,,,,,,,,,,,,,Grocery,Convenience,24025301302,True
Hanson Market Place,grocery,convenience,39.424505,-76.3122091,,,,,,,,,,,,,Grocery,Convenience,24025301601,True
7-Eleven,grocery,convenience,39.4224837,-76.2956617,,,,,,,,,,,,,Grocery,Convenience,24025301601,True
Wawa,grocery,convenience,39.4169701,-77.4387688,,,,,,,,,,,,,Grocery,Convenience,24021750504,True
Royal Farms,grocery,convenience,39.4078126,-76.3492188,,,,,,,,,,,,,Grocery,Convenience,24025301401,True
Edgewood Deli & Convenience,grocery,convenience,39.4265749,-76.2996783,,,,,,,,,,,,,Grocery,Convenience,24025301601,True
Royal Farms,grocery,convenience,39.4258765,-76.2990696,,,,,,,,,,,,,Grocery,Convenience,24025301601,True
Jones Family Farm Market,grocery,farm,39.4444761,-76.3101348,,,,,,,,,,,,,Grocery,Farm,24025301301,True
Sheetz,grocery,convenience,39.4285482,-76.3546563,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
Locust Point Market,grocery,deli,39.635003,-77.7226613,,,,,,,,,,,,,Grocery,Deli,24043000700,True
7-Eleven,grocery,convenience,39.4339102,-76.3203628,,,,,,,,,,,,,Grocery,Convenience,24025301302,True
Unnamed convenience,grocery,convenience,39.4349503,-76.3203972,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
Martin's Food,grocery,supermarket,39.6325208,-77.7643319,,,,,,,,,,,,,Grocery,Supermarket,24043000900,True
Food Lion,grocery,supermarket,38.6985969,-75.7875893,,,,,,,,,,,,,Grocery,Supermarket,24011955600,True
Unnamed convenience,grocery,convenience,38.6983306,-75.7835054,,,,,,,,,,,,,Grocery,Convenience,24011955600,True
Unnamed convenience,grocery,convenience,38.6939297,-75.7739118,,,,,,,,,,,,,Grocery,Convenience,24011955600,True
Zip Mart,grocery,convenience,38.5708927,-76.0787065,,,,,,,,,,,,,Grocery,Convenience,24019970500,True
Royal Farms,grocery,convenience,39.4330342,-76.3374138,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
Sunoco,grocery,convenience,38.9994382,-76.9911985,,,,,,,,,,,,,Grocery,Convenience,24031702000,True
Four Seasons Mini Mart & Carry Out,grocery,convenience,39.310497,-76.638112,,,,,,,,,,,,,Grocery,Convenience,24510130300,True
Unnamed convenience,grocery,convenience,39.310499,-76.638064,,,,,,,,,,,,,Grocery,Convenience,24510130300,True
Blue Star Food Mart,grocery,convenience,39.3105045,-76.6376375,,,,,,,,,,,,,Grocery,Convenience,24510130300,True
Unnamed convenience,grocery,convenience,39.3107001,-76.6411328,,,,,,,,,,,,,Grocery,Convenience,24510130300,True
Royal Farms,grocery,convenience,38.6970656,-75.7883223,,,,,,,,,,,,,Grocery,Convenience,24011955600,True
Sheetz,grocery,convenience,39.6373165,-77.6971,,,,,,,,,,,,,Grocery,Convenience,24043000601,True
Wawa,grocery,convenience,39.4371353,-76.3067898,,,,,,,,,,,,,Grocery,Convenience,24025301301,True
Unnamed convenience,grocery,convenience,38.6117708,-76.9243731,,,,,,,,,,,,,Grocery,Convenience,24017850901,True
Unnamed convenience,grocery,convenience,38.6155543,-76.9206472,,,,,,,,,,,,,Grocery,Convenience,24017850901,True
Rio Mart,grocery,convenience,39.4349377,-76.3147263,,,,,,,,,,,,,Grocery,Convenience,24025301302,True
7-Eleven,grocery,convenience,39.4227255,-77.4662972,,,,,,,,,,,,,Grocery,Convenience,24021750507,True
Unnamed convenience,grocery,convenience,39.4185061,-77.4584218,,,,,,,,,,,,,Grocery,Convenience,24021750506,True
H Mart,grocery,supermarket,39.1543757,-77.1973837,,,,,,,,,,,,,Grocery,Supermarket,24031700713,True
Tiger Mart,grocery,convenience,39.4315882,-76.3363149,,,,,,,,,,,,,Grocery,Convenience,24025301302,True
Krumpe's Do-Nuts,grocery,bakery,39.6263713,-77.7295876,,,,,,,,,,,,,Grocery,Bakery,24043000800,True
Sudsville,laundry,laundry,39.3246801,-76.6091213,,,,,,,,,,,,,Laundry,Laundry,24510090400,True
Reliable Cleaners,laundry,dry_cleaning,38.9991271,-77.0040947,,,,,,,,,,,,,Laundry,Dry Cleaning,24031702301,True
Sun Cleaners,laundry,dry_cleaning,39.4347463,-76.3068292,,,,,,,,,,,,,Laundry,Dry Cleaning,24025301302,True
Unnamed laundry,laundry,laundry,39.3108505,-76.6328446,,,,,,,,,,,,,Laundry,Laundry,24510130200,True
Fresh Laundromat,laundry,laundry,39.3468856,-76.7011583,,,,,,,,,,,,,Laundry,Laundry,24510280102,True
Cleaners,laundry,laundry,39.3224938,-76.6085392,,,,,,,,,,,,,Laundry,Laundry,24510090400,True
Ultra Clean Laundromat,laundry,laundry,39.6342595,-77.6987384,,,,,,,,,,,,,Laundry,Laundry,24043000601,True
Unnamed laundry,laundry,laundry,38.9912943,-76.9886024,,,,,,,,,,,,,Laundry,Laundry,24033805601,True
Family Wash Day,laundry,laundry,39.4339725,-76.3178322,,,,,,,,,,,,,Laundry,Laundry,24025301302,True
Laundromat,laundry,laundry,39.3343859,-76.6093533,,,,,,,,,,,,,Laundry,Laundry,24510090300,True
Unnamed dry_cleaning,laundry,dry_cleaning,39.3477926,-76.690819,,,,,,,,,,,,,Laundry,Dry Cleaning,24510280101,True
Zips Dry Cleaning,laundry,dry_cleaning,38.8544441,-76.9098356,,,,,,,,,,,,,Laundry,Dry Cleaning,24033802407,True
Unnamed laundry,laundry,laundry,39.2977591,-76.6453789,,,,,,,,,,,,,Laundry,Laundry,24510160300,True
Unnamed dry_cleaning,laundry,dry_cleaning,39.3550758,-76.7032049,,,,,,,,,,,,,Laundry,Dry Cleaning,24510280101,True
Lakeside Laundromat,laundry,laundry,39.1536715,-77.1985874,,,,,,,,,,,,,Laundry,Laundry,24031700713,True
Curtis Bay Laundromat,laundry,laundry,39.2255886,-76.5886386,,,,,,,,,,,,,Laundry,Laundry,24510250500,True
Family Wash Day,laundry,laundry,39.3166836,-76.4589264,,,,,,,,,,,,,Laundry,Laundry,24005450501,True
Unnamed laundry,laundry,laundry,39.2983205,-76.5820099,,,,,,,,,,,,,Laundry,Laundry,24510070200,True
Unnamed laundry,laundry,laundry,38.6981286,-75.7886451,,,,,,,,,,,,,Laundry,Laundry,24011955600,True
Unnamed laundry,laundry,laundry,39.3105015,-76.6379615,,,,,,,,,,,,,Laundry,Laundry,24510130300,True
K&B True Value,home_repair,hardware,38.9509175,-76.4935687,,,,,,,,,,,,,Home Repair,Hardware,24003706404,True
Wise Oil and Fuel,home_repair,hardware,38.5643081,-76.0785415,,,,,,,,,,,,,Home Repair,Hardware,24019970500,True
Gardiner Wolf Furniture,home_repair,hardware,39.3566677,-76.7092735,,,,,,,,,,,,,Home Repair,Hardware,24510280101,True
Harbor Freight Tools,home_repair,hardware,39.4343332,-76.3153917,,,,,,,,,,,,,Home Repair,Hardware,24025301302,True
CapitalTristate,home_repair,hardware,39.6473535,-78.7599401,,,,,,,,,,,,,Home Repair,Hardware,24001000800,True
The Home Depot,home_repair,doityourself,39.4207303,-77.4553615,,,,,,,,,,,,,Home Repair,Doityourself,24021750508,True
Washer Dryer Parts,home_repair,hardware,39.324047,-76.6091736,,,,,,,,,,,,,Home Repair,Hardware,24510090400,True
Harbor Freight Tools,home_repair,hardware,39.1539974,-77.1979588,,,,,,,,,,,,,Home Repair,Hardware,24031700713,True
Harbor Freight Tools,home_repair,hardware,38.6209346,-76.9140897,,,,,,,,,,,,,Home Repair,Hardware,24017850901,True
The Home Depot,home_repair,doityourself,39.0175476,-76.9301677,,,,,,,,,,,,,Home Repair,Doityourself,24033807301,True
Lowe's,home_repair,doityourself,39.6340968,-77.7597937,,,,,,,,,,,,,Home Repair,Doityourself,24043000900,True
The Home Depot,home_repair,doityourself,39.3555298,-76.7074051,,,,,,,,,,,,,Home Repair,Doityourself,24510280101,True
Carey Hardware,home_repair,doityourself,39.3098674,-76.6514567,,,,,,,,,,,,,Home Repair,Doityourself,24510150400,True
Salvo Auto Parts,auto_repair,car_parts,39.3141502,-76.4498984,,,,,,,,,,,,,Auto Repair,Car Parts,24005450501,True
Unnamed car_repair,auto_repair,car_repair,38.8485894,-76.955592,,,,,,,,,,,,,Auto Repair,Car Repair,24033801809,True
Unnamed car_repair,auto_repair,car_repair,38.847311,-76.9532692,,,,,,,,,,,,,Auto Repair,Car Repair,24033801809,True
Branch Ave Tire and Auto Repair,auto_repair,car_repair,38.8459186,-76.9522303,,,,,,,,,,,,,Auto Repair,Car Repair,24033801809,True
Executive Automotive Service,auto_repair,car_repair,39.141729,-77.1874476,,,,,,,,,,,,,Auto Repair,Car Repair,24031700725,True
Unnamed car_repair,auto_repair,car_repair,38.9929862,-76.9923081,,,,,,,,,,,,,Auto Repair,Car Repair,24031702000,True
J&M Auto Specialist,auto_repair,car_repair,39.3102308,-76.6173996,,,,,,,,,,,,,Auto Repair,Car Repair,24510120500,True
Fells Point Collision Specialist,auto_repair,car_repair,39.2872546,-76.5990958,,,,,,,,,,,,,Auto Repair,Car Repair,24510030100,True
Reliable Body & Fender,auto_repair,car_repair,39.3101056,-76.6173886,,,,,,,,,,,,,Auto Repair,Car Repair,24510120500,True
Cambridge Collision Center,auto_repair,car_repair,38.5641676,-76.0781048,,,,,,,,,,,,,Auto Repair,Car Repair,24019970600,True
Haddaway's Service,auto_repair,car_repair,38.5636691,-76.0788474,,,,,,,,,,,,,Auto Repair,Car Repair,24019970500,True
